state,date,dex,num_devices,dex_income_1,num_devices_income_1,dex_income_2,num_devices_income_2,dex_income_3,num_devices_income_3,dex_income_4,num_devices_income_4
AK,2020-02-01,117.4519,29335,141.0878,1093,110.3145,4836,115.6567,10015,120.3371,12452
AK,2020-02-02,54.6235,28977,70.42,1069,52.8559,4748,51.9067,9908,53.9964,12371
AK,2020-02-03,83.5664,30301,100.8198,1110,82.6956,4958,81.0161,10357,84.6124,12942
AK,2020-02-04,87.4964,30963,97.1956,1135,90.146,5083,81.0339,10569,90.4721,13220
AK,2020-02-05,95.9697,31844,126.9906,1172,97.5252,5263,92.4149,10873,96.7948,13600
AK,2020-02-06,102.2623,31465,130.9015,1127,96.9451,5115,99.2963,10817,106.4021,13490
AK,2020-02-07,129.6549,31625,143.0288,1145,123.6672,5228,124.677,10775,133.2637,13514
AK,2020-02-08,113.854,30816,119.2124,1111,106.7281,5090,111.1335,10551,117.6721,13135
AK,2020-02-09,82.6333,30635,95.7152,1085,79.4322,5056,77.8862,10494,85.3139,13081
AK,2020-02-10,95.9679,32162,112.8943,1192,94.1543,5262,92.4486,10987,97.6466,13691
AK,2020-02-11,94.9884,32494,116.4881,1178,97.1386,5355,90.665,11117,95.8082,13819
AK,2020-02-12,88.136,31606,101.3236,1165,84.6439,5221,84.2669,10736,91.4529,13406
AK,2020-02-13,108.8973,30940,145.9312,1120,111.6917,5015,102.3936,10555,114.0652,13185
AK,2020-02-14,150.4336,31541,207.3215,1129,144.2507,5190,147.4125,10794,153.8842,13364
AK,2020-02-15,116.3494,30843,133.1835,1161,107.2954,5085,115.55,10573,118.659,12993
AK,2020-02-16,80.6795,30656,87.6463,1145,76.5118,5004,76.8962,10467,83.5052,13019
AK,2020-02-17,95.9581,31705,116.7523,1183,90.3397,5155,90.402,10798,100.8672,13453
AK,2020-02-18,92.5253,32560,115.1648,1165,90.39,5220,87.6866,11099,94.4162,13930
AK,2020-02-19,96.668,32465,109.6559,1145,96.0666,5196,92.0182,11016,99.7067,13906
AK,2020-02-20,105.7253,32783,118.3717,1165,106.7532,5256,104.9521,11128,104.1456,13972
AK,2020-02-21,120.0243,32540,138.9593,1155,118.2162,5232,116.9106,11059,121.5656,13828
AK,2020-02-22,122.343,31436,126.6256,1119,114.3796,5053,121.4353,10745,127.5951,13409
AK,2020-02-23,77.6864,30725,85.7392,1108,73.5249,4898,76.5123,10367,79.4849,13244
AK,2020-02-24,89.7421,32524,95.8502,1215,90.4335,5267,87.6791,11007,91.7857,13794
AK,2020-02-25,92.2348,32390,108.1646,1203,92.2735,5301,89.6548,10894,93.0007,13829
AK,2020-02-26,104.3115,32076,121.8778,1211,107.2802,5232,99.828,10869,106.3145,13699
AK,2020-02-27,108.8267,32493,140.9596,1212,110.3652,5299,106.2523,11003,107.4639,13851
AK,2020-02-28,134.7942,31920,155.9787,1221,134.5379,5181,133.3017,10794,134.7925,13576
AK,2020-02-29,112.4001,29290,134.111,1045,105.5357,4738,110.293,9937,116.7032,12547
AK,2020-03-01,72.4156,26279,84.0824,959,71.8396,4140,70.9171,8856,72.926,11483
AK,2020-03-02,75.0562,27132,79.5605,1008,81.1915,4283,71.73,9111,75.3946,11770
AK,2020-03-03,81.5942,27503,83.9212,977,85.7608,4436,79.7573,9208,83.4885,11883
AK,2020-03-04,86.2944,27418,90.0967,1034,95.1114,4424,82.6751,9307,86.1402,11756
AK,2020-03-05,88.4491,27408,112.9111,1035,89.6473,4398,84.3795,9228,89.2478,11863
AK,2020-03-06,111.287,27420,123.8904,1031,114.4263,4412,107.8068,9210,113.7362,11835
AK,2020-03-07,110.3048,28028,139.0019,1073,101.1268,4542,109.098,9483,114.5657,11979
AK,2020-03-08,63.287,27859,70.2303,1064,66.0235,4510,60.7073,9435,64.7993,11836
AK,2020-03-09,77.4001,28590,87.4978,1127,85.1568,4598,75.7642,9753,76.3549,12287
AK,2020-03-10,81.7324,27890,101.3604,1085,86.9358,4531,79.6877,9443,82.2882,11925
AK,2020-03-11,84.9083,27124,99.2768,1062,87.2463,4389,81.5429,9217,87.6567,11613
AK,2020-03-12,96.5403,26735,107.9087,1051,100.099,4302,94.1232,9054,99.9362,11465
AK,2020-03-13,110.1495,26814,118.257,1066,110.4421,4282,110.7867,9047,112.6355,11529
AK,2020-03-14,82.6978,27583,111.3253,1085,81.2655,4376,82.5793,9303,83.6765,11992
AK,2020-03-15,51.6198,27530,52.6608,1082,51.2062,4394,50.3754,9272,52.6121,12037
AK,2020-03-16,83.9828,28985,97.4471,1116,92.0738,4676,81.7979,9799,85.429,12558
AK,2020-03-17,63.7368,28464,68.6373,1045,72.2053,4531,63.5804,9708,61.7553,12389
AK,2020-03-18,53.2527,26876,67.7237,1017,57.0321,4262,53.6665,9097,51.8828,11782
AK,2020-03-19,46.053,26843,51.6557,970,50.2178,4242,46.4376,9025,43.3197,11747
