subjectid,year,day,n_onset,onset_mean,sd_onset,sem_onset,n_offset,offset_mean,sd_offset,sem_offset,n_midsleep,midsleep_mean,sd_midsleep,sem_midsleep,n_duration_hr,duration_hr_mean,sd_duration_hr,sem_duration_hr,n_efficiency,efficiency_mean,sd_efficiency,sem_efficiency
1,2019,Weekday,30,25.76611111,1.502025984,0.274231171,30,8.953333333,1.029976007,0.188047031,30,5.359722222,0.974753342,0.177964798,30,7.187222222,1.68323764,0.307315742,30,88.63233333,5.80532139,1.059901826
1,2019,Weekend,13,26.11666667,1.681131674,0.466262035,13,9.83974359,1.897409765,0.526246785,13,5.978205128,1.523832805,0.422635178,13,7.8,1.793906868,0.497540246,13,87.42384615,6.569748268,1.822120327
2,2019,Weekday,30,24.80333333,0.816114052,0.149001359,30,7.888888889,1.047084379,0.191170578,30,4.346111111,0.818481836,0.149433655,30,7.085555556,0.919350651,0.167849697,30,82.92666667,3.439258474,0.627919816
2,2019,Weekend,13,25.26410256,1.40567379,0.389863764,13,7.544871795,1.916260641,0.531475077,13,4.404487179,1.42955176,0.396486321,13,6.280769231,1.76676947,0.490013686,13,83.92538462,4.703699989,1.304571654
3,2019,Weekday,29,24.49022989,1.586359997,0.294579656,29,8.117816092,0.891448917,0.165537908,29,4.304022989,1.107788581,0.205711175,29,7.627586207,1.309066945,0.243087629,29,76.82827586,5.991545871,1.112602137
3,2019,Weekend,13,26.07820513,2.4508066,0.679731451,13,9.693589744,0.930067164,0.257954219,13,5.885897436,1.574652315,0.436729974,13,7.615384615,1.95571884,0.542418812,13,78.06076923,4.146055277,1.149908838
4,2019,Weekday,29,25.43850575,1.23368804,0.229090118,29,10.02068966,1.655927635,0.307498042,29,5.729597701,1.326948227,0.2464081,29,8.582183908,1.218605199,0.226289305,29,84.17206897,5.391498188,1.001176079
4,2019,Weekend,12,25.75972222,1.380664793,0.398563595,12,10.43611111,1.852255427,0.534700085,12,6.097916667,1.423814964,0.411019977,12,8.676388889,1.601616266,0.462346791,12,87.55083333,6.308547532,1.821120808
6,2019,Weekday,26,26.20064103,1.62646502,0.318976034,26,9.429487179,2.144011338,0.420475217,26,5.815064103,1.536632355,0.301358399,26,7.228846154,2.244858608,0.440252994,26,75.89192308,10.87522837,2.132807757
6,2019,Weekend,12,27.02638889,1.287360041,0.371628833,12,11.575,1.760559771,0.508229829,12,7.300694444,1.064412025,0.307269285,12,8.54861111,2.232003881,0.644324021,12,82.30166667,6.163555399,1.779265184
7,2019,Weekday,30,23.68611111,0.823622539,0.150372215,30,6.570555556,0.728598657,0.133023307,30,3.128333333,0.620709796,0.113325586,30,6.884444444,0.936641646,0.171006586,30,87.74533333,3.440987963,0.628235576
7,2019,Weekend,13,24.10897436,1.398852297,0.387971822,13,8.252564103,0.821072192,0.227724453,13,4.142307692,0.979881309,0.271770177,13,8.22051282,1.343815633,0.372707398,13,89.51538462,3.677462022,1.019944453
8,2019,Weekday,28,24.69047619,2.204640768,0.416637943,28,8.008928571,1.114536222,0.210627548,28,4.349702381,1.286948736,0.24321045,28,7.318452381,2.362269168,0.446426911,28,81.5925,9.129624399,1.725336837
8,2019,Weekend,13,25.75128205,1.633651635,0.453093441,13,9.893589744,1.205783487,0.334424168,13,5.822435897,1.115683567,0.309434947,13,8.142307692,1.807336072,0.501264837,13,85.36076923,5.701633482,1.581348606
9,2019,Weekday,29,23.33563218,1.160961596,0.215585156,29,5.712068966,1.073590776,0.199360802,29,2.523850575,0.863828124,0.160408856,29,6.376436782,1.419880928,0.263665269,29,75.85103448,6.111394712,1.134857508
9,2019,Weekend,13,24.37564103,1.193823134,0.331106963,13,8.021794872,0.842653014,0.233709896,13,4.16025641,0.94258285,0.261425446,13,7.723076923,1.140754674,0.316388421,13,81.28153846,7.424516647,2.05919042
10,2019,Weekday,29,25.9637931,1.492461673,0.277143175,29,9.663793103,1.647756224,0.305980649,29,5.813793103,1.14973961,0.213501286,29,7.7,2.144173538,0.39816303,29,82.61689655,4.881933972,0.90655238
10,2019,Weekend,13,26.63589744,1.245303142,0.345384949,13,10.61538462,1.60020921,0.443818181,13,6.625641026,1.28708624,0.356973495,13,7.979487179,1.263540621,0.350443115,13,85.22692308,2.107049219,0.584390308
25,2020,Weekday,37,24.27972973,1.680393175,0.276254936,37,6.337837838,0.529713536,0.087084369,37,3.308783784,1.004732141,0.165176946,37,6.058108108,1.473325696,0.242213252,37,89.62486486,3.185251274,0.523652084
25,2020,Weekend,17,24.48039216,0.756711528,0.183529503,17,6.950980392,1.27451612,0.309115564,17,3.68627451,0.818603895,0.198540607,17,6.529411765,1.310713459,0.317894708,17,89.98882353,4.267317486,1.034976514
26,2020,Weekday,39,23.52991453,0.809891151,0.129686375,39,8.617094017,1.373546479,0.219943462,39,4.073504274,0.872347424,0.139687383,39,9.087179487,1.428687194,0.228773043,39,77.79,4.208699637,0.673931303
26,2020,Weekend,17,23.5627451,0.888693044,0.215539723,17,9.287254902,1.681419389,0.407804102,17,4.395588235,1.185151617,0.287441488,17,9.783333334,1.312969493,0.318441877,17,78.66235294,5.646627898,1.369508427
27,2020,Weekday,36,23.93009259,0.937108178,0.156184696,36,7.899074074,1.103025741,0.183837623,36,3.914583333,0.855916326,0.142652721,36,7.968981482,1.122187156,0.187031193,36,78.17555556,5.572244198,0.928707366
27,2020,Weekend,15,24.90555556,1.249232569,0.322550462,15,8.063333333,1.090674758,0.281611012,15,4.484444444,0.733230963,0.189319421,15,7.224444444,1.805710372,0.466232413,15,75.09066667,8.268314275,2.134869566
28,2020,Weekday,36,25.76203704,1.299777827,0.216629638,36,9.218055556,1.308751829,0.218125305,36,5.490046296,1.097057427,0.182842904,36,7.456018518,1.41080385,0.235133975,36,83.62111111,5.43216809,0.905361348
28,2020,Weekend,14,27.14880952,1.633522546,0.436577264,14,10.33452381,2.080869972,0.556135893,14,6.741666667,1.648176278,0.440493639,14,7.185714286,1.769432488,0.472900724,14,82.24642857,6.897210815,1.843357128
