Date,Time,Off.Wrist.Status,Activity,Marker,White.Light,Red.Light,Green.Light,Blue.Light,Sleep.Wake,Interval.Status,newtime,day
10/7/20,13:10:00,0,349.6,0,343.054,636.02,465.709,259.433,1,NA,10/7/20 13:10,Weekday
10/7/20,13:20:00,0,139.6,0,264.172,505.02,375.81,263.7,1,NA,10/7/20 13:20,Weekday
10/7/20,13:30:00,0,380.2,0,254.627,465.81,325.593,180.713,1,NA,10/7/20 13:30,Weekday
10/7/20,13:40:00,0,389,0,192.528,99.99,70.04,55.31,1,NA,10/7/20 13:40,Weekday
10/7/20,13:50:00,0,255.4,0,194.224,79.9,55.24,44.29,1,NA,10/7/20 13:50,Weekday
10/7/20,14:00:00,0,319.9,0,298.78,444.63,419.761,216.923,1,NA,10/7/20 14:00,Weekday
10/7/20,14:10:00,0,322.6,0,133.705,188.4103,170.609,85.4928,1,NA,10/7/20 14:10,Weekday
10/7/20,14:20:00,0,551.6,0,81.863,54.52,36.91,30.156,1,NA,10/7/20 14:20,Weekday
10/7/20,14:30:00,0,313,0,30.253,19.912,14.09,11.867,0.9,NA,10/7/20 14:30,Weekday
10/7/20,14:40:00,0,384.7,0,65.004,32.472,23.4573,18.484,1,NA,10/7/20 14:40,Weekday
10/7/20,14:50:00,0,114.2,0,14.543,7.269,4.7033,4.042,1,NA,10/7/20 14:50,Weekday
10/7/20,15:00:00,0,13.5,0,0.246,0.486,1.086,0.1656,0.2,NA,10/7/20 15:00,Weekday
10/7/20,15:10:00,0,0,0,0,0,0,0,0,NA,10/7/20 15:10,Weekday
10/7/20,15:20:00,0,0,0,0,0,0,0,0,NA,10/7/20 15:20,Weekday
10/7/20,15:30:00,0,0,0,0,0,0,0,0,NA,10/7/20 15:30,Weekday
10/7/20,15:40:00,0,3.6,0,0.369,1.17,0.3493,0.4324,0,NA,10/7/20 15:40,Weekday
10/7/20,15:50:00,0,7.3,0,0.492,1.3164,0.5513,0.3312,0.1,NA,10/7/20 15:50,Weekday
10/7/20,16:00:00,0,6.7,0,17.248,4.795,2.5848,2.424,0.1,NA,10/7/20 16:00,Weekday
10/7/20,16:10:00,0,6.7,0,19.57,9.819,5.423,5.2,0.1,NA,10/7/20 16:10,Weekday
10/7/20,16:20:00,0,5.4,0,0,7.546,3.9928,3.822,0.1,NA,10/7/20 16:20,Weekday
10/7/20,16:30:00,0,0,0,0,0,0,0,0,NA,10/7/20 16:30,Weekday
10/7/20,16:40:00,0,8.3,0,7.584,6.42,2.766,2.805,0.1,NA,10/7/20 16:40,Weekday
10/7/20,16:50:00,0,5.9,0,7.018,5.069,2.644,2.3578,0.1,NA,10/7/20 16:50,Weekday
10/7/20,17:00:00,0,0,0,0,0,0,0,0,NA,10/7/20 17:00,Weekday
10/7/20,17:10:00,0,0.2,0,0,0,0,0,0,NA,10/7/20 17:10,Weekday
10/7/20,17:20:00,0,0,0,0,0,0,0,0,NA,10/7/20 17:20,Weekday
10/7/20,17:30:00,0,32.1,0,0,0.6716,0.288,0.283,0.3,NA,10/7/20 17:30,Weekday
10/7/20,17:40:00,0,139,0,86.9,37.319,24.81,20.703,1,NA,10/7/20 17:40,Weekday
10/7/20,17:50:00,0,165,0,64.491,27.127,19.179,14.85399,0.9,NA,10/7/20 17:50,Weekday
10/7/20,18:00:00,0,4.4,0,0.154,0.648,0.2212,0.06713,0.1,NA,10/7/20 18:00,Weekday
10/7/20,18:10:00,0,3.4,0,0,0,0,0,0,NA,10/7/20 18:10,Weekday
10/7/20,18:20:00,0,12.1,0,8.066,5.058,3.8488,2.694,0.2,NA,10/7/20 18:20,Weekday
10/7/20,18:30:00,0,0,0,2.855,4.935,2.98,2.554,0,NA,10/7/20 18:30,Weekday
10/7/20,18:40:00,0,47.6,0,10.563,10.405,6.593,5.945,0.5,NA,10/7/20 18:40,Weekday
10/7/20,18:50:00,0,64.6,0,12.354,10.107,7.115,5.952,1,NA,10/7/20 18:50,Weekday
10/7/20,19:00:00,0,153.8,0,47.616,52.393,31.453,26.507,1,NA,10/7/20 19:00,Weekday
