Date,Time,Off.Wrist.Status,Activity,Marker,White.Light,Red.Light,Green.Light,Blue.Light,Sleep.Wake,Interval.Status,newtime,day
10/9/19,15:50:00,0,376,0,284.138,858.38,340.01,246.29,1,NA,10/9/19 15:50,Weekday
10/9/19,16:00:00,0,322.7,0,124.474,129.25,278.1,134.46,1,NA,10/9/19 16:00,Weekday
10/9/19,16:10:00,0,259.4,0,147.627,186.4,278.7,149.84,1,NA,10/9/19 16:10,Weekday
10/9/19,16:20:00,0,541.2,0,2005.295,11281.5,2296,1340.3,1,NA,10/9/19 16:20,Weekday
10/9/19,16:30:00,0,330.9,0,0,29.35555556,1413.15,530.67,1,NA,10/9/19 16:30,Weekday
10/9/19,16:40:00,0,404.8,0,469.85,223.83,418.6,178.32,1,NA,10/9/19 16:40,Weekday
10/9/19,16:50:00,0,301.6,0,153.855,78.37,112.61,48.5,1,NA,10/9/19 16:50,Weekday
10/9/19,17:00:00,0,433.3,0,69.84,88.55,90.48,47.97,1,NA,10/9/19 17:00,Weekday
10/9/19,17:10:00,0,305.5,0,363.702,121.94,113.99,61.92,1,NA,10/9/19 17:10,Weekday
10/9/19,17:20:00,0,626.5,0,270.425,474.22,409.59,259.85,1,NA,10/9/19 17:20,Weekday
10/9/19,17:30:00,0,654.1,0,104.505,77.58,120.528,66.611,1,NA,10/9/19 17:30,Weekday
10/9/19,17:40:00,0,762.8,0,347.373,664.23,587.53,348.19,1,NA,10/9/19 17:40,Weekday
10/9/19,17:50:00,0,819,0,163.213,224.77,293.3,164.22,1,NA,10/9/19 17:50,Weekday
10/9/19,18:00:00,0,862.2,0,54.955,105.96,82.007,56.571,1,NA,10/9/19 18:00,Weekday
10/9/19,18:10:00,0,688.1,0,38.303,66.214,66.736,39.675,1,NA,10/9/19 18:10,Weekday
10/9/19,18:20:00,0,572.3,0,1.877,7.74,2.2444,1.6275,1,NA,10/9/19 18:20,Weekday
10/9/19,18:30:00,0,861.1,0,3.94,9.272,2.858,1.9509,1,NA,10/9/19 18:30,Weekday
10/9/19,18:40:00,0,799.2,0,4.48,7.947,7.912,4.614,1,NA,10/9/19 18:40,Weekday
10/9/19,18:50:00,0,849.9,0,0,13.125,5.259,61.487,1,NA,10/9/19 18:50,Weekday
10/9/19,19:00:00,0,389.4,0,0,16.349,30.06,52.196,1,NA,10/9/19 19:00,Weekday
10/9/19,19:10:00,0,551.7,0,0,15.694,43.17,13.922,1,NA,10/9/19 19:10,Weekday
10/9/19,19:20:00,0,617.3,0,31.203,10.904,15.939,7.745,1,NA,10/9/19 19:20,Weekday
10/9/19,19:30:00,0,216.8,0,3.569,14.122,26.611,9.934,1,NA,10/9/19 19:30,Weekday
10/9/19,19:40:00,0,488.6,0,11.892,10.368,12.384,7.176,1,NA,10/9/19 19:40,Weekday
10/9/19,19:50:00,0,797.3,0,12.675,13.461,10.001,8.826,1,NA,10/9/19 19:50,Weekday
10/9/19,20:00:00,0,311.8,0,7.455,14.172,145.744,24.376,1,NA,10/9/19 20:00,Weekday
10/9/19,20:10:00,0,310.4,0,40.573,18.347,22.93,9.919,1,NA,10/9/19 20:10,Weekday
10/9/19,20:20:00,0,401,0,15.161,17.909,17.733,10.206,1,NA,10/9/19 20:20,Weekday
10/9/19,20:30:00,0,234.6,0,0,52.67,197.37,61.46,1,NA,10/9/19 20:30,Weekday
10/9/19,20:40:00,0,98.8,0,0,67.4,231.94,76.76,0.9,NA,10/9/19 20:40,Weekday
10/9/19,20:50:00,0,261.5,0,0.382,57.715,342.447,55.058,0.9,NA,10/9/19 20:50,Weekday
10/9/19,21:00:00,0,51.9,0,0,69.28,70.54,78.37,0.8,NA,10/9/19 21:00,Weekday
10/9/19,21:10:00,0,200.9,0,2.69,40.7,84.735,30.911,1,NA,10/9/19 21:10,Weekday
10/9/19,21:20:00,0,375.7,0,6.353,9.535,16.96,8.237,1,NA,10/9/19 21:20,Weekday
10/9/19,21:30:00,0,299.2,0,0,35.577,64.64,28.965,1,NA,10/9/19 21:30,Weekday
10/9/19,21:40:00,0,234.9,0,59.42,60.489,109.24,55.941,0.6,NA,10/9/19 21:40,Weekday
10/9/19,21:50:00,0,948.2,0,8.165,6.377,8.673,5.265,1,NA,10/9/19 21:50,Weekday
10/9/19,22:00:00,0,703.8,0,10.244,9.977,14.519,5.649,1,NA,10/9/19 22:00,Weekday
10/9/19,22:10:00,0,827,0,18.7,9.088,12.04,6.681,1,NA,10/9/19 22:10,Weekday
10/9/19,22:20:00,0,605.2,0,398.792,8.9849,13.9251,6.4796,1,NA,10/9/19 22:20,Weekday
10/9/19,22:30:00,0,387.9,0,60.526,9.196,10.487,4.579,1,NA,10/9/19 22:30,Weekday
10/9/19,22:40:00,0,367.4,0,2.719,13.6039,14.724,5.763,1,NA,10/9/19 22:40,Weekday
